Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
MMM,150.48,87675513391,1
AOS,74.7,11999280734,2
ABT,118.9,2.15601E+11,1
ABBV,149.13,2.55441E+11,1
ABMD,306.75,13892533232,0
ACN,335.43,2.2114E+11,0
ATVI,83.46,64815690618,2
ADM,76.87,43850092082,2
ADBE,463.7,2.16088E+11,0
AAP,224.4,13701270167,0
AMD,119.45,1.36913E+11,1
AES,21.76,14692519397,9
AFL,63.8,43755359540,3
A,134.87,41024932203,1
APD,250.86,56127509882,0
AKAM,103.81,17115628873,1
ALK,61.71,7445630764,3
ALB,194.83,23026765876,1
ARE,187.5,29920207094,1
ALGN,510.84,40629760703,0
ALLE,116.03,10312287669,1
LNT,59.2,14992204921,3
ALL,129.83,36480048557,1
GOOGL,2683.76,1.77715E+12,0
GOOG,2675.53,1.80083E+12,0
MO,51.89,97673649478,3
AMZN,3150.41,1.56098E+12,0
AMCR,12.09,18232805623,16
AEE,88.81,22041000959,2
AAL,18.24,11576053482,10
AEP,87.43,44916748405,2
AXP,197.88,1.527E+11,1
AIG,63.93,51355989317,3
AMT,232.25,1.04556E+11,0
AWK,154.1,28151829570,1
AMP,305.48,35120861615,0
ABC,145.7,30910878247,1
AME,134.01,29887184119,1
AMGN,227.93,1.30496E+11,0
APH,78.9,47787138720,2
ADI,166.04,84238613740,1
ANSS,304.58,27382676559,0
ANTM,465.73,1.10504E+11,0
AON,288.3,63916290167,0
APA,32.28,11967403856,6
AAPL,168.5,2.86468E+12,1
AMAT,133.37,1.23352E+11,1
APTV,143.92,39638643638,1
ANET,132.03,39237060047,1
AJG,157.24,32349020514,1
AIZ,167.44,9856542828,1
T,24.26,1.78367E+11,8
ATO,111.21,14851475382,1
ADSK,219.65,48610666142,0
ADP,209.55,84853387933,0
AZO,1920.26,40048653676,0
AVB,241.28,33665869080,0
AVY,187.35,15251541522,1
BKR,29.43,30749531186,6
BLL,94.15,29563017322,2
BAC,47.13,3.84988E+11,4
BBWI,54.16,13594938728,3
BAX,83.74,42943305349,2
BDX,268.83,77375928920,0
BRK.B,323,7.25722E+11,0
BBY,97.72,24593842178,2
BIO,593.38,17760704985,0
TECH,407.74,16440837255,0
BIIB,216.22,32263359990,0
BLK,779.79,1.149E+11,0
BK,58.47,48757673421,3
BA,216.5,1.23738E+11,0
BKNG,2710.87,1.12004E+11,0
BWA,43.87,10496506749,4
BXP,126.7,19373510549,1
BSX,44.38,60727995485,4
BMY,69.58,1.4952E+11,2
AVGO,594.71,2.41902E+11,0
BR,142.96,17440968087,1
BRO,68.17,19293630364,2
BF.B,67.48,31796316388,2
CHRW,92.07,12202282060,2
CDNS,140.57,38433908999,1
CZR,81.79,17560133791,2
CPB,45.55,13825516842,4
COF,160.68,68368279269,1
CAH,55.26,15540854821,3
KMX,109.97,17652623888,1
CCL,22.9,25403282207,8
CARR,44.74,39844671961,4
CTLT,100.49,18317266751,1
CAT,198.86,1.0766E+11,0
CBOE,120.92,13262452094,1
CBRE,103.35,33512877708,1
CDW,187.72,24816408222,1
CE,150.72,16283446172,1
CNC,82.56,49328528512,2
CNP,27.92,17490934087,7
CDAY,67.67,10127021831,2
CERN,95.4,26949744698,2
CF,74.72,15738048618,2
CRL,302.04,15257951119,0
SCHW,89.03,1.64434E+11,2
